,year,month,day,RMM1,RMM2,phase,amplitude
228,1975,1,15,0.24922399999999997,1.41221,6,1.43403
229,1975,1,16,-0.21245,1.7004599999999999,7,1.7136799999999999
230,1975,1,17,-0.6557,1.7255099999999999,7,1.8458900000000003
231,1975,1,18,-1.0711,1.5357299999999998,7,1.8723599999999998
232,1975,1,19,-1.51778,1.17969,8,1.9223299999999999
233,1975,1,20,-1.97859,1.23032,8,2.32992
234,1975,1,21,-2.0882,0.858701,8,2.25787
235,1975,1,22,-1.96537,0.664944,8,2.07481
236,1975,1,23,-1.9603,0.475711,8,2.0172
237,1975,1,24,-1.80096,0.42873500000000003,8,1.85129
238,1975,1,25,-2.0430900000000003,0.43445100000000003,8,2.0887700000000002
239,1975,1,26,-1.9261400000000002,0.615197,8,2.022
240,1975,1,27,-1.776,0.8622860000000001,8,1.97426
241,1975,1,28,-1.85055,1.17949,8,2.19448
242,1975,1,29,-2.07419,0.750502,8,2.2057900000000004
243,1975,1,30,-2.3092200000000003,0.61278,8,2.3891400000000003
244,1975,1,31,-2.155,0.24450999999999998,8,2.16883
245,1975,2,1,-2.02066,-0.1508,1,2.02628
246,1975,2,2,-1.78478,-0.5352399999999999,1,1.8633099999999998
247,1975,2,3,-1.67861,-1.04601,1,1.97784
248,1975,2,4,-1.45917,-1.49882,2,2.0918099999999997
249,1975,2,5,-1.25,-1.58734,2,2.0204299999999997
250,1975,2,6,-1.1558,-1.7317599999999997,2,2.08203
251,1975,2,7,-0.92309,-2.10977,2,2.30288
252,1975,2,8,-0.30785999999999997,-2.03526,2,2.05841
253,1975,2,9,0.317404,-1.65631,3,1.6864400000000002
254,1975,2,10,0.797828,-1.39782,3,1.60948
255,1975,2,11,1.06186,-0.90051,4,1.39229
256,1975,2,12,1.3392,-0.519,4,1.43625
257,1975,2,13,1.30162,-0.0131092,4,1.30168
258,1975,2,14,1.28277,0.329366,5,1.32438
259,1975,2,15,1.08165,0.866642,5,1.38601
260,1975,2,16,0.753179,1.02104,6,1.26878
261,1975,2,17,0.20764899999999997,0.942134,6,0.9647459999999999
262,1975,2,18,-0.44931000000000004,1.0300200000000002,7,1.12375
263,1975,2,19,-0.82283,0.906021,7,1.2239
264,1975,2,20,-1.0295100000000001,0.523894,8,1.15514
265,1975,2,21,-1.16531,0.388957,8,1.22851
266,1975,2,22,-1.1001,-0.12433,1,1.1071
267,1975,2,23,-1.38481,-0.0417278,1,1.38544
268,1975,2,24,-1.5131700000000001,-0.066544302,1,1.51463
269,1975,2,25,-1.35691,-0.28833000000000003,1,1.38721
270,1975,2,26,-0.87692,-0.59785,1,1.0613299999999999
271,1975,2,27,-0.70519,-0.9905799999999999,2,1.21595
272,1975,2,28,-0.5405399999999999,-1.1344299999999998,2,1.25663
273,1975,3,1,-0.35677,-1.20054,2,1.25243
274,1975,3,2,-0.07550039900000001,-1.199,2,1.20137
275,1975,3,3,-0.067049198,-1.29046,2,1.2922
276,1975,3,4,-0.43504,-1.425,2,1.48993
277,1975,3,5,-0.44706999999999997,-1.37059,2,1.44166
278,1975,3,6,-0.0563742,-1.4934100000000001,2,1.49447
279,1975,3,7,0.349382,-1.5754299999999999,3,1.61371
280,1975,3,8,0.22672899999999999,-1.60545,3,1.6213799999999998
281,1975,3,9,0.287541,-1.3467200000000001,3,1.3770799999999999
282,1975,3,10,0.423569,-1.1422,3,1.21821
283,1975,3,11,0.41606099999999996,-1.33121,3,1.3947200000000002
284,1975,3,12,0.450408,-1.49685,3,1.56314
285,1975,3,13,0.42613500000000004,-1.56566,3,1.6226200000000002
286,1975,3,14,0.61129,-1.68682,3,1.79417
287,1975,3,15,0.9625879999999999,-1.93252,3,2.15898
288,1975,3,16,1.06693,-2.08757,3,2.34442
289,1975,3,17,1.28534,-1.7471900000000002,3,2.16905
290,1975,3,18,1.1344299999999998,-1.29023,3,1.71803
291,1975,3,19,1.07235,-0.95158,4,1.4336799999999998
292,1975,3,20,1.4071,-0.68189,4,1.56362
293,1975,3,21,1.57281,-0.71108,4,1.7260799999999998
294,1975,3,22,1.57879,-0.33386,4,1.6137
295,1975,3,23,1.49852,0.313089,5,1.53088
296,1975,3,24,1.42146,0.662099,5,1.56809
297,1975,3,25,1.32772,0.9332530000000001,5,1.6229
298,1975,3,26,0.912286,0.955282,6,1.32092
299,1975,3,27,0.19299000000000002,0.7384689999999999,6,0.763271
300,1975,3,28,-0.25271,0.776411,7,0.816503
301,1975,3,29,-0.33398,1.02918,7,1.0820100000000001
302,1975,3,30,-0.46475,1.25758,7,1.34071
303,1975,3,31,-0.70597,1.5289700000000002,7,1.68409
304,1975,4,1,-0.8105899999999999,1.55368,7,1.75242
305,1975,4,2,-0.85488,1.19377,7,1.4683
306,1975,4,3,-1.00803,0.858268,8,1.32392
307,1975,4,4,-1.36239,0.8537629999999999,8,1.6078
308,1975,4,5,-1.33238,0.6781550000000001,8,1.49504
309,1975,4,6,-1.21341,0.36733899999999997,8,1.26779
310,1975,4,7,-1.26435,-0.067167699,1,1.26613
311,1975,4,8,-1.09815,-0.48627,1,1.20099
312,1975,4,9,-0.84251,-1.18366,2,1.45289
313,1975,4,10,-0.6624,-1.45984,2,1.60309
314,1975,4,11,-0.65795,-1.5472700000000001,2,1.68135
315,1975,4,12,-0.58406,-2.02504,2,2.10758
316,1975,4,13,-0.31640999999999997,-2.36627,2,2.38733
317,1975,4,14,-0.0339242,-2.69172,2,2.6919299999999997
318,1975,4,15,0.270169,-2.82523,3,2.83811
319,1975,4,16,0.670063,-2.47312,3,2.56229
320,1975,4,17,1.33311,-2.15441,3,2.5335099999999997
321,1975,4,18,1.88192,-1.6579400000000002,4,2.50807
322,1975,4,19,2.0578,-1.17218,4,2.36824
323,1975,4,20,2.17908,-0.73155,4,2.2986
324,1975,4,21,2.2236599999999997,-0.20938,4,2.2335
325,1975,4,22,2.24403,0.309768,5,2.26531
326,1975,4,23,1.88205,0.8828379999999999,5,2.07883
327,1975,4,24,1.54311,1.04672,5,1.8646200000000002
328,1975,4,25,1.10077,0.838774,5,1.38392
329,1975,4,26,0.46127799999999997,0.861274,6,0.9770209999999999
330,1975,4,27,-0.050661702,0.9247280000000001,7,0.9261149999999999
331,1975,4,28,-0.31605,0.838462,7,0.896049
332,1975,4,29,-0.49183000000000004,0.503842,7,0.704097
333,1975,4,30,-0.44264,0.17741700000000002,8,0.47687299999999994
334,1975,5,1,-0.5141100000000001,-0.0914644,1,0.522185
335,1975,5,2,-0.44068,-0.4298,1,0.615571
336,1975,5,3,-0.50384,-0.63936,2,0.814024
337,1975,5,4,-0.27851,-0.85405,2,0.8983180000000001
338,1975,5,5,-0.34733,-0.96214,2,1.02291
339,1975,5,6,-0.38306999999999997,-1.1084,2,1.1727299999999998
340,1975,5,7,-0.14167000000000002,-1.0682200000000002,2,1.0775700000000001
341,1975,5,8,-0.06280709799999999,-0.58036,2,0.58375
342,1975,5,9,-0.19451,-0.48482,2,0.522386
343,1975,5,10,-0.022023501,-0.3634,2,0.36407
344,1975,5,11,-0.081943899,-0.38753000000000004,2,0.39610100000000004
345,1975,5,12,-0.14179,-0.50716,2,0.526606
346,1975,5,13,-0.030037098999999998,-0.42516000000000004,2,0.426216
347,1975,5,14,0.0825615,-0.14576,3,0.167515
348,1975,5,15,0.24927,-0.2746,3,0.370867
349,1975,5,16,0.29898800000000003,-0.30815,3,0.429363
350,1975,5,17,0.025521001,-0.12372999999999999,3,0.12633699999999998
351,1975,5,18,-0.078885198,-0.0764075,1,0.109823
352,1975,5,19,-0.22873000000000002,-0.10125,1,0.250139
353,1975,5,20,-0.5489,-0.37039,1,0.6621779999999999
354,1975,5,21,-0.79933,-0.37832,1,0.884332
355,1975,5,22,-0.74673,-0.48262,1,0.8891180000000001
356,1975,5,23,-0.6069899999999999,-0.69967,2,0.926268
357,1975,5,24,-0.55742,-1.05508,2,1.19328
358,1975,5,25,-0.66338,-1.1690200000000002,2,1.3441299999999998
359,1975,5,26,-0.52267,-1.00327,2,1.13125
360,1975,5,27,-0.33289,-0.51683,2,0.614759
361,1975,5,28,-0.4175,-0.41313,1,0.587354
362,1975,5,29,-0.52022,-0.20583,1,0.559457
363,1975,5,30,-0.51057,0.0740977,8,0.5159199999999999
364,1975,5,31,-0.6702899999999999,0.100024,8,0.677707
365,1975,6,1,-0.80638,0.008937500400000001,8,0.80643
366,1975,6,2,-1.19013,-0.29730999999999996,1,1.2267
367,1975,6,3,-1.1165200000000002,-0.79881,1,1.37285
368,1975,6,4,-0.7370800000000001,-1.1811399999999999,2,1.39226
369,1975,6,5,-0.18461,-1.2343600000000001,2,1.24809
370,1975,6,6,0.0529439,-1.00591,3,1.0073
371,1975,6,7,0.261154,-0.8813,3,0.919175
372,1975,6,8,0.307477,-0.6060300000000001,3,0.679566
373,1975,6,9,0.566792,-0.6749,3,0.8813270000000001
374,1975,6,10,0.694809,-0.4212,4,0.8125100000000001
375,1975,6,11,0.688213,-0.19068,4,0.714141
376,1975,6,12,0.488018,-0.0318777,4,0.489058
377,1975,6,13,0.429141,-0.074651703,4,0.435586
378,1975,6,14,0.6185149999999999,-0.0133726,4,0.6186590000000001
379,1975,6,15,0.798733,-0.0079329303,4,0.798772
380,1975,6,16,1.00658,-0.14038,4,1.01633
381,1975,6,17,1.2826899999999999,-0.093677901,4,1.28611
382,1975,6,18,1.7459900000000002,-0.07333060400000001,4,1.74752
383,1975,6,19,2.1299200000000003,0.28983600000000004,5,2.14955
384,1975,6,20,2.02769,0.684291,5,2.14004
385,1975,6,21,1.8516700000000001,0.829116,5,2.02882
386,1975,6,22,1.40116,1.24376,5,1.87355
387,1975,6,23,1.40603,1.57154,6,2.10871
388,1975,6,24,1.7561099999999998,1.8392099999999998,6,2.54295
389,1975,6,25,1.5475700000000001,1.46718,5,2.13251
390,1975,6,26,0.935049,1.36144,6,1.65162
391,1975,6,27,0.092507496,1.4797200000000001,6,1.48261
392,1975,6,28,-0.6352899999999999,1.68772,7,1.8033299999999999
393,1975,6,29,-1.0927200000000001,1.7400200000000001,7,2.05468
394,1975,6,30,-1.5203200000000001,1.5636,7,2.1808799999999997
395,1975,7,1,-2.01745,1.3320299999999998,8,2.4175299999999997
396,1975,7,2,-2.15355,1.22666,8,2.4784
397,1975,7,3,-1.99859,1.04255,8,2.2541700000000002
398,1975,7,4,-1.84791,0.878393,8,2.0460599999999998
399,1975,7,5,-1.9538900000000001,0.647205,8,2.05829
400,1975,7,6,-2.08283,0.33127,8,2.10901
401,1975,7,7,-2.0064599999999997,0.102029,8,2.00905
402,1975,7,8,-1.73432,-0.35985,1,1.7712599999999998
403,1975,7,9,-1.53166,-0.67561,1,1.67405
404,1975,7,10,-1.38563,-0.78383,1,1.59197
405,1975,7,11,-1.25065,-0.77647,1,1.4720799999999998
406,1975,7,12,-0.78518,-1.02601,2,1.29198
407,1975,7,13,-0.65887,-0.9923,2,1.19113
408,1975,7,14,-0.6259399999999999,-1.1309799999999999,2,1.29263
409,1975,7,15,-0.43363,-1.00096,2,1.09085
410,1975,7,16,-0.37011,-1.0563799999999999,2,1.11934
411,1975,7,17,-0.39248,-1.22082,2,1.28236
412,1975,7,18,-0.41145,-1.16446,2,1.23502
413,1975,7,19,-0.69316,-1.3064,2,1.4789
414,1975,7,20,-0.76493,-1.45733,2,1.64588
415,1975,7,21,-0.9269,-1.6198,2,1.86625
416,1975,7,22,-1.13311,-1.83645,2,2.15789
417,1975,7,23,-0.78799,-1.9253200000000001,2,2.08033
418,1975,7,24,-0.48097,-2.02997,2,2.08617
419,1975,7,25,-0.29715,-1.9534900000000002,2,1.97596
420,1975,7,26,0.238271,-1.59994,3,1.61758
421,1975,7,27,0.768838,-1.04778,3,1.29959
422,1975,7,28,1.34141,-0.6081,4,1.47281
423,1975,7,29,1.4621,0.0074932398,5,1.46212
424,1975,7,30,1.2004,0.61517,5,1.34885
425,1975,7,31,1.28146,0.8466290000000001,5,1.53588
426,1975,8,1,1.1878600000000001,0.8550129999999999,5,1.4635799999999999
427,1975,8,2,1.20161,0.952527,5,1.53336
428,1975,8,3,1.31287,1.06884,5,1.69295
429,1975,8,4,1.32197,0.883582,5,1.59007
430,1975,8,5,1.1147200000000002,0.573372,5,1.2535399999999999
431,1975,8,6,0.9468200000000001,0.592707,5,1.11704
432,1975,8,7,1.05789,0.6036520000000001,5,1.218
433,1975,8,8,1.18582,0.46408,5,1.2734
434,1975,8,9,1.28302,0.161005,5,1.29309
435,1975,8,10,1.12144,0.2478,5,1.14849
436,1975,8,11,1.19119,0.218953,5,1.2111399999999999
437,1975,8,12,1.2165700000000002,0.209135,5,1.23441
438,1975,8,13,1.1927,0.075306296,5,1.19507
439,1975,8,14,1.16442,-0.043974899000000005,4,1.16525
440,1975,8,15,1.0658100000000001,-0.0517032,4,1.0670600000000001
441,1975,8,16,1.04685,-0.11102999999999999,4,1.05272
442,1975,8,17,0.987353,-0.18522,4,1.00458
443,1975,8,18,0.706721,-0.072555304,4,0.710436
444,1975,8,19,0.470379,-0.088499002,4,0.47863199999999995
445,1975,8,20,0.426151,0.080452099,5,0.433679
446,1975,8,21,0.29379099999999997,0.335976,6,0.44631000000000004
447,1975,8,22,0.138977,0.21948,6,0.259781
448,1975,8,23,-0.24641,0.0398256,8,0.24960500000000002
449,1975,8,24,-0.54827,-0.15680999999999998,1,0.570253
450,1975,8,25,-0.6857,-0.6028399999999999,1,0.913018
451,1975,8,26,-0.78422,-0.80155,2,1.1213799999999998
